[ 2012-03-11T17:45:48+08:00 ] /index.php/Home | INFO: Run ShowRuntime Behavior [ RunTime:0.000398s ]
[ 2012-03-11T17:45:48+08:00 ] /index.php/Home | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001651s ]
[ 2012-03-11T17:45:48+08:00 ] /index.php/Home | INFO: Tag[ view_end ] --START--
[ 2012-03-11T17:45:48+08:00 ] /index.php/Home | INFO: Run ShowPageTrace Behavior [ RunTime:0.004787s ]
[ 2012-03-11T17:45:48+08:00 ] /index.php/Home | INFO: Tag[ view_end ] --END-- [ RunTime:0.004871s ]
[ 2012-03-11T17:45:56+08:00 ] /index.php/Photo | ERR: (ThinkException) 无法加载模块Photo
[ 2012-03-11T17:47:02+08:00 ] /index.php/Photo | ERR: (ThinkException) 无法加载模块Photo
[ 2012-03-11T17:47:03+08:00 ] /index.php/Photo | ERR: (ThinkException) 无法加载模块Photo
[ 2012-03-11T17:47:54+08:00 ] /index.php/Photo | ERR: (ThinkException) 无法加载模块Photo
[ 2012-03-11T17:48:09+08:00 ] /index.php/add | ERR: (ThinkException) 无法加载模块Add
[ 2012-03-11T17:48:18+08:00 ] /index.php/Photo/add | ERR: (ThinkException) 无法加载模块Photo
[ 2012-03-11T17:49:51+08:00 ] /index.php/Blog/add | INFO: Tag[ route_check ] --START--
[ 2012-03-11T17:49:51+08:00 ] /index.php/Blog/add | INFO: Run CheckRoute Behavior [ RunTime:0.000636s ]
[ 2012-03-11T17:49:51+08:00 ] /index.php/Blog/add | INFO: Tag[ route_check ] --END-- [ RunTime:0.000709s ]
[ 2012-03-11T17:49:51+08:00 ] /index.php/Blog/add | INFO: Tag[ app_begin ] --START--
[ 2012-03-11T17:49:51+08:00 ] /index.php/Blog/add | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000418s ]
[ 2012-03-11T17:49:51+08:00 ] /index.php/Blog/add | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000470s ]
[ 2012-03-11T17:49:52+08:00 ] /index.php/Blog/add | SQL: SHOW COLUMNS FROM `p_category` [ RunTime:0.416681s ]
[ 2012-03-11T17:49:52+08:00 ] /index.php/Blog/add | SQL: SELECT * FROM `p_category`  [ RunTime:0.000382s ]
[ 2012-03-11T17:49:52+08:00 ] /index.php/Blog/add | INFO: Tag[ view_template ] --START--
[ 2012-03-11T17:49:52+08:00 ] /index.php/Blog/add | INFO: Run LocationTemplate Behavior [ RunTime:0.032734s ]
[ 2012-03-11T17:49:52+08:00 ] /index.php/Blog/add | INFO: Tag[ view_template ] --END-- [ RunTime:0.032821s ]
[ 2012-03-11T17:49:52+08:00 ] /index.php/Blog/add | INFO: Tag[ view_parse ] --START--
[ 2012-03-11T17:49:52+08:00 ] /index.php/Blog/add | NOTIC: [2] file_get_contents(./Tpl/default/Public/footer.html) [<a href='function.file-get-contents'>function.file-get-contents</a>]: failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
